Date,Open,High,Low,Close,Volume
2024-07-22,247,259.35,247,259.35,561000
2024-07-23,259,259,246.4,246.4,98000
2024-07-24,234.1,234.1,234.1,234.1,5000
2024-07-25,222.4,222.4,222.4,222.4,2000
2024-07-26,211.3,233.5,211.3,232.3,310000
2024-07-29,238.9,238.9,220.7,228.8,62000
2024-07-30,228.8,232.7,220.5,227.1,49000
2024-07-31,230,231,215.75,219.65,73000
2024-08-01,221,221,208.7,212.45,60000
2024-08-02,205,214.9,202.1,207.5,15000
2024-08-05,199,199,188,192.1,20000
2024-08-06,191.05,191.05,188,188.35,18000
2024-08-07,185,203,177,200,30000
2024-08-08,201,203,196,198.8,23000
2024-08-09,207,215,203,209.8,67000
2024-08-12,212,251.75,209.05,236.7,292000
2024-08-13,239.9,239.9,218.15,219.8,50000
2024-08-14,220,221,216.2,220.3,22000
2024-08-16,225.5,227,217.35,219.5,8000
2024-08-19,220,220.25,219,220,8000
2024-08-20,218.9,218.9,208.1,210.6,25000
2024-08-21,210,212,207.5,210,12000
2024-08-22,206.05,207,199,203.25,20000
2024-08-23,208.5,208.5,203,203,5000
2024-08-26,200,200,198,199,4000
2024-08-27,198,198,184.05,189.25,18000
2024-08-28,189.25,195,189.25,195,6000
2024-08-29,205,217.9,189,213.75,78000
2024-08-30,221,232,217,224,48000
2024-09-02,220,220,213,218,10000
2024-09-03,226.5,240,226.5,236.9,110000
2024-09-04,247,247,236.1,242.95,56000
2024-09-05,246.55,254,242,244,75000
2024-09-06,249.95,250.1,240.05,242,43000
2024-09-09,242,247.25,235.05,238.9,20000
2024-09-10,239,239,233,234.75,13000
2024-09-11,233,233,227,227,10000
2024-09-12,227,227,227,227,1000
2024-09-13,235,235,223,225.45,11000
2024-09-16,225,225,211,213.75,27000
2024-09-17,217.9,217.9,211.5,212.75,5000
2024-09-18,209.1,209.1,204,205,20000
2024-09-19,202.05,204,200,200,8000
2024-09-20,207.9,207.9,207,207.9,3000
2024-09-23,212,212,207.9,211,4000
2024-09-25,208,211.3,208,208,6000
2024-09-26,208,208,201.05,207,10000
2024-09-27,207,214,207,207,5000
2024-09-30,207,207,201.2,201.7,8000
2024-10-01,201.75,209,201.25,205,8000
2024-10-03,200.5,205,200.2,200.2,3000
2024-10-04,199.05,205,193.2,193.2,9000
2024-10-07,195,195,195,195,1000
2024-10-08,195,195,195,195,1000
2024-10-09,194.9,194.9,194.9,194.9,1000
2024-10-10,200,212.5,195.05,208.8,7000
2024-10-15,208,208,208,208,2000
2024-10-16,208,208,197.7,197.7,3000
2024-10-17,198,198,195,195,7000
2024-10-22,199.9,199.9,199.9,199.9,1000
2024-10-23,198.5,218,195,206,34000
2024-10-25,213.95,213.95,212.4,212.45,10000
2024-10-28,208.5,222,208.5,218.3,26000
