Date,Open,High,Low,Close,Volume
2024-10-04,537.7,564.55,537.7,564.55,3137200
2024-10-07,592.75,592.75,560.5,592.75,1037600
2024-10-08,618,622.35,582,622.35,399200
2024-10-09,653.45,653.45,653.45,653.45,14400
2024-10-10,686.1,686.1,686.1,686.1,14400
2024-10-11,720.4,720.4,701.2,720.4,807200
2024-10-14,740,756.4,700,756.4,442000
2024-10-15,794.2,794.2,794.2,794.2,28400
2024-10-16,833.9,833.9,780.1,830.75,448000
2024-10-17,823,872.25,800,872.25,441200
2024-10-18,864,883.9,745,760.15,1110400
2024-10-21,760.15,808.9,693,710.7,625200
2024-10-22,715.2,765,672,709.2,518800
2024-10-23,739.9,765,710,741,246000
2024-10-24,750,772,706.75,714.15,251600
2024-10-25,718,722.4,661.45,682.1,291600
2024-10-28,705,717,660,676.85,260000
2024-10-29,689.95,689.95,625,647.75,284000
2024-10-30,643,770,638.25,728.4,460400
2024-10-31,713.35,783,676,754.8,406800
2024-11-01,750,773.8,730,764.25,156000
2024-11-04,764,803,740,768.4,252800
2024-11-05,770,839.8,752,818.55,295200
2024-11-06,844.8,969.95,840,921.05,583200
2024-11-07,938,982,871,897.75,274000
2024-11-08,905,929,882,902.75,148000
2024-11-11,908,912.55,855,861.3,181600
2024-11-12,883,1013,875.1,978.2,484400
2024-11-13,992,1007,890.1,893.75,308800
2024-11-14,875,929,875,905.75,118800
2024-11-18,905.75,940,890,902.85,128400
2024-11-19,910.85,920,840,851.8,141600
2024-11-21,859.8,917,810,902.95,191200
2024-11-22,722.4,722.4,722.4,722.4,78000
2024-11-25,625,720,602.1,711,1742000
2024-11-26,720,763.5,695.6,707.15,495600
2024-11-27,716.4,733,685.1,707.75,340800
2024-11-28,680,680,566.2,610.4,1116800
2024-11-29,618.2,647.7,612,615.35,211200
2024-12-02,625,630,612.1,625.6,172800
2024-12-03,634,681.95,620.5,668.4,313600
2024-12-04,685,685,655,656.85,99200
2024-12-05,658,666,645,663.95,96800
2024-12-06,665.1,674.9,653,658.95,96000
2024-12-09,660,660.5,640.1,642.75,112800
2024-12-10,645,665,640.2,648.6,142400
2024-12-11,650.15,655.7,640.6,644.1,81200
2024-12-12,644.1,645,625.5,628.8,87200
2024-12-13,625,635,615,626.9,66800
2024-12-16,629.95,638,608,609.75,168400
2024-12-17,618,619.5,591.8,606.1,174800
2024-12-18,603.5,609,580.55,581.9,130400
2024-12-19,565,610,552,592.8,230800
2024-12-20,604.7,608.95,584,585.15,88400
2024-12-23,605,607,580,589.75,59600
2024-12-24,593,599.4,591.05,595,40000
2024-12-26,594,596.9,583,584.55,48400
2024-12-27,590.4,593.7,575,580.95,54800
2024-12-30,581,581,530,533.1,224000
2024-12-31,533.9,539,495.05,527.6,404800
2025-01-01,538.95,538.95,510.15,511.9,120000
2025-01-02,511.9,544.5,511.9,539.9,222000
2025-01-03,546,593.85,532.25,593.85,209600
2025-01-06,618,618,550,563.8,255600
