Date,Open,High,Low,Close,Volume
2023-12-28,72.2,78.4,70,73.05,363600
2023-12-29,74,75.5,71.75,72.3,150000
2024-01-01,70.75,72.25,70,71,85200
2024-01-02,71,73,68,69.15,153600
2024-01-03,69.15,70.1,65.85,67.2,214800
2024-01-04,67.2,74.5,67.2,74,201600
2024-01-05,76,76.3,72,72.05,91200
2024-01-08,72.2,73.45,69.55,70.2,102000
2024-01-09,71.75,72,69.4,70.25,50400
2024-01-10,71.5,71.5,69,71.15,60000
2024-01-11,71.25,71.7,69.6,70.15,46800
2024-01-12,70,72,70,71.35,55200
2024-01-15,71.2,72,70,70.15,109200
2024-01-16,70,70.85,69.3,70.1,37200
2024-01-17,70.2,71,67,68.8,81600
2024-01-18,68.8,69.9,67.8,68.75,25200
2024-01-19,68.5,70.5,68.15,68.9,38400
2024-01-20,68.5,68.95,68.1,68.6,42000
2024-01-23,68.6,68.7,67.3,67.5,58800
2024-01-24,67,67.65,66.05,67.05,32400
2024-01-25,67,67,66,66.35,46800
2024-01-29,67,67,65.1,65.15,51600
2024-01-30,65.15,65.45,63.9,64.15,52800
2024-01-31,65,66,64.25,65.3,22800
2024-02-01,64.15,65.8,64.15,64.4,30000
2024-02-02,64.25,65.1,64,64.25,37200
2024-02-05,64.25,64.85,63,63.05,60000
2024-02-06,63.5,63.5,60.15,61.35,58800
2024-02-07,61.35,62,60.7,61.15,27600
2024-02-08,61.1,61.15,60.2,60.3,40800
2024-02-09,60.5,60.8,60,60.2,31200
2024-02-12,60.5,61.5,59,59.2,34800
2024-02-13,58.85,58.85,56.4,56.6,42000
2024-02-14,56.6,58.9,56.15,58,28800
2024-02-15,60,68.9,58.5,62.5,96000
2024-02-16,64,64.95,61.4,62.35,26400
2024-02-19,63,63.75,62.4,63.4,24000
2024-02-20,62.05,63.55,62,62.05,20400
2024-02-21,61,62.2,60.5,61.4,26400
2024-02-22,61.8,62,60.75,61.95,22800
2024-02-23,60.6,62,60,60.2,30000
2024-02-26,59.05,68,58.4,64.45,75600
2024-02-27,65,67.9,64.05,65.8,64800
2024-02-28,66.85,66.85,62.85,64.05,26400
2024-02-29,65,65.6,60.4,61.4,48000
2024-03-01,62.4,63.75,61.8,63.1,34800
2024-03-02,64.7,65,63.2,64.1,12000
2024-03-04,64.1,64.1,61.15,62.3,31200
2024-03-05,62,62.3,60.15,61.6,19200
2024-03-06,60,60.4,59,59.7,19200
2024-03-07,58.75,61.7,58.75,60.45,14400
2024-03-11,60,60,57.15,57.5,25200
2024-03-12,58,58,56.5,56.75,61200
2024-03-13,57.8,57.8,49.2,49.9,104400
2024-03-14,49.5,52.4,49.5,51.65,48000
2024-03-15,50.1,53,50.1,51.2,13200
2024-03-18,50.65,51.55,50.15,50.75,42000
2024-03-19,50.6,50.65,49.05,49.05,42000
2024-03-20,50,50,48,49.35,56400
2024-03-21,50.05,51.2,48.8,49.65,37200
2024-03-22,50,50,47,48.05,67200
2024-03-26,47.8,49.6,42.7,43.05,202800
2024-03-27,43.95,43.95,39.5,40.1,171600
2024-03-28,41,41.8,37.6,38.05,120000
2024-04-01,38.15,41.85,38.15,41.85,30000
2024-04-02,43.5,46,43.5,46,37200
2024-04-03,49.35,50.6,49.2,50.6,91200
2024-04-04,53.1,53.1,53.1,53.1,12000
2024-04-05,53.2,55.75,52.1,52.6,110400
2024-04-08,52.6,52.6,50,50.05,26400
2024-04-09,50.25,51.7,50.2,50.4,19200
2024-04-10,50.3,50.3,47.9,47.9,30000
2024-04-12,47.9,47.9,46.6,46.65,13200
2024-04-15,44.35,46.55,44.35,46.55,10800
2024-04-16,46.6,48.05,46.6,47,8400
2024-04-18,47,47,46.15,46.15,7200
2024-04-19,46.15,47.3,45.95,47.25,15600
2024-04-22,47.8,49.6,47.8,49.6,34800
2024-04-23,52.05,52.05,49.75,49.9,27600
2024-04-24,49.75,52.35,49.75,51.9,50400
2024-04-25,51.05,53.75,51.05,52.45,21600
2024-04-26,52.05,52.85,51,52.4,25200
2024-04-29,52,52,50.5,51.75,9600
2024-04-30,50.25,53.45,50.25,51.2,19200
2024-05-02,51.6,51.6,51,51,8400
2024-05-03,52.9,52.9,50,50.9,15600
2024-05-07,49.2,51.25,49.2,50,3600
2024-05-08,51.8,51.8,49.25,51.5,10800
2024-05-09,51.6,51.6,49.05,50,10800
2024-05-10,49.05,49.05,49.05,49.05,1200
2024-05-13,49.05,49.05,47.6,48.15,9600
2024-05-14,50,50,49,49,6000
2024-05-15,48.1,48.1,46.55,46.9,25200
2024-05-16,47.7,47.7,47.05,47.5,7200
2024-05-17,45.45,47.5,45.45,47.45,33600
2024-05-18,46.65,46.65,46.6,46.6,2400
2024-05-21,46.6,48.9,45.25,47.7,34800
2024-05-22,47.5,47.5,46,46,8400
2024-05-23,46,47.8,45.6,46.2,24000
2024-05-24,46.9,46.9,46.05,46.2,13200
2024-05-27,45.3,46.45,44.7,44.7,15600
2024-05-28,44.75,46.6,44.7,45.5,18000
2024-05-29,46.5,46.6,44.55,45.5,10800
2024-05-30,45.05,45.05,43.25,43.25,62400
2024-05-31,43.65,44.05,42.05,42.25,12000
2024-06-03,43,43.15,42.15,42.15,16800
2024-06-04,42.15,42.15,40.05,40.05,31200
2024-06-05,39.85,41,38.05,40.5,33600
2024-06-06,41.45,41.95,40.55,41.65,16800
2024-06-07,41.55,42.8,41,42.2,8400
2024-06-10,43.7,43.7,42.4,42.4,8400
2024-06-11,43.4,44.35,42.05,44.1,36000
2024-06-12,44.1,45.1,43.6,44.45,19200
2024-06-13,44.45,45.7,44.2,44.4,24000
2024-06-14,44.45,45.25,43.3,43.8,24000
2024-06-18,43.8,44.9,43.35,44.9,21600
2024-06-19,43.1,45.05,43.1,44.35,16800
2024-06-20,44.35,45.65,44.25,44.75,9600
2024-06-21,44.9,45,43.9,44.45,16800
2024-06-24,43.9,44.45,43.2,44.05,24000
2024-06-25,42.25,44.45,42.25,43.15,22800
2024-06-26,43.5,44,42.5,43.5,24000
2024-06-27,42.55,44.45,42.55,43.65,37200
2024-06-28,42.65,43.35,42.55,42.65,21600
2024-07-01,43,43.6,42.6,43.5,19200
2024-07-02,43.5,44.2,42.5,44.05,22800
2024-07-03,45,46,44.5,44.95,24000
2024-07-04,46,47.15,45.05,46.45,26400
2024-07-05,46.45,47.7,45.25,47.6,22800
2024-07-08,48,49.95,48,49.35,46800
2024-07-09,48,49.9,48,49.35,42000
2024-07-10,49.75,50,48.6,49.15,19200
2024-07-11,49.15,51,49.15,50.7,34800
2024-07-12,52.55,52.9,51.05,51.95,39600
2024-07-15,53.85,53.85,50.25,52.8,38400
2024-07-16,54,55.4,54,55.4,122400
2024-07-18,58,58.15,56.15,58.15,75600
2024-07-19,60.6,61,56.5,57.25,45600
2024-07-22,57.25,57.25,54.4,55.55,27600
2024-07-23,55.55,55.55,52.8,53.4,33600
2024-07-24,53.5,54.85,52.15,54.4,15600
2024-07-25,52,53.5,52,53.5,8400
2024-07-26,52,54.35,52,53.95,12000
2024-07-29,52.85,53,51.3,52,13200
2024-07-30,52.2,52.85,51.8,52.3,14400
2024-07-31,54.1,54.1,52,52,19200
2024-08-01,52,52.05,50.75,51.15,18000
2024-08-02,51,52.2,50.35,51.5,15600
2024-08-05,51,51,48.95,49.5,19200
2024-08-06,50,50,47.05,47.05,26400
2024-08-07,46.15,48.5,46.15,48.45,15600
2024-08-08,49.95,50.65,48.7,50,16800
2024-08-09,50,50.7,48.75,49.35,9600
2024-08-12,48.45,48.65,47.65,48.65,9600
2024-08-13,48.65,50,47.45,48.9,21600
2024-08-14,50,50,48.55,48.55,7200
2024-08-16,48.5,48.5,47.75,47.85,9600
2024-08-19,47.9,49,47.9,49,4800
2024-08-20,49,49.5,48.3,48.5,8400
2024-08-21,47.55,48.6,47.05,48.55,13200
2024-08-22,49.45,49.5,48.3,48.95,16800
2024-08-23,48.05,49.65,48.05,49.1,15600
2024-08-26,49.2,50.9,49.2,50,16800
2024-08-27,50,54,50,53.45,22800
2024-08-28,56,56,51.45,53.35,12000
2024-08-29,52.25,53,50.6,50.85,25200
2024-08-30,50.85,52.8,49.05,51.95,14400
2024-09-02,51.95,52.2,50.1,52.2,12000
2024-09-03,50.5,51.7,50,50.4,8400
2024-09-04,51.45,52,50.2,50.35,14400
2024-09-05,52.95,54.2,52.9,53.05,52800
2024-09-06,53.1,54.5,51,51.05,38400
2024-09-09,53.1,56.15,53.1,56.15,115200
2024-09-10,61.75,61.75,60,61.75,102000
2024-09-11,67.6,67.9,67.6,67.9,144000
2024-09-12,71.25,71.25,71.25,71.25,54000
2024-09-13,74.8,74.8,74.8,74.8,136800
2024-09-16,77.2,77.2,71.1,71.45,351600
2024-09-17,74.9,75,72.3,75,218400
