Date,Open,High,Low,Close,Volume
2025-06-23,36.05,37.5,35.9,36,1584000
2025-06-24,35,35.95,34.2,34.25,484000
2025-06-25,34.95,35.95,34.25,35.95,416000
2025-06-26,36.8,36.8,35,35.25,92000
2025-06-27,35.2,35.85,34.3,35.85,28000
2025-06-30,35.85,35.9,34.7,35.25,48000
2025-07-01,34.1,34.15,33.5,33.5,80000
2025-07-02,32,34.15,31.85,32.9,132000
2025-07-03,32.2,34,32.2,34,64000
2025-07-04,34,34,32.3,33.8,44000
2025-07-07,33.85,34.6,32.3,33.35,68000
2025-07-08,33.35,34,30.25,32.3,84000
2025-07-09,33.8,34,33.15,33.85,60000
2025-07-10,33.1,33.7,32.6,33.7,32000
2025-07-11,33.85,34.05,33,33,88000
2025-07-14,33.9,33.9,32.8,32.85,40000
2025-07-15,33.95,35.9,32.5,34.3,484000
2025-07-16,34.85,35.1,34.05,34.2,76000
2025-07-17,33.7,34.5,33.6,34,48000
2025-07-18,33.65,33.65,33.35,33.35,28000
2025-07-21,33.9,34.35,33.5,33.85,168000
2025-07-22,34.4,34.4,33.2,33.3,68000
2025-07-23,32.9,34,32.9,33.5,68000
2025-07-24,33.3,34.45,33.15,34.35,96000
2025-07-25,33.6,34.35,33.6,34.25,24000
2025-07-28,34.45,34.95,34.05,34.4,60000
2025-07-29,34.45,34.45,34.1,34.15,24000
2025-07-30,34.5,35.15,34.45,35.15,124000
2025-07-31,35.3,35.65,34.9,34.9,72000
2025-08-01,34.4,35.2,34.1,34.1,28000
2025-08-04,34.7,34.7,34.2,34.2,20000
2025-08-06,33.95,33.95,33.25,33.25,8000
2025-08-07,33.2,33.5,32.9,32.9,16000
2025-08-08,32.7,32.7,32.3,32.3,12000
2025-08-11,33,33,32.35,32.35,8000
2025-08-12,32.25,32.35,32.25,32.25,44000
2025-08-13,32.5,32.55,32.5,32.55,48000
2025-08-14,31.8,32.5,28.8,32.5,72000
2025-08-18,31.85,33,31.85,33,40000
2025-08-19,32.05,33,32.05,33,28000
2025-08-20,32.05,32.95,31.8,32.95,24000
2025-08-21,31.65,31.65,31.65,31.65,4000
2025-08-22,32,32.4,32,32.4,8000
2025-08-25,31.75,31.75,31.7,31.7,8000
2025-08-26,31.95,31.95,31.75,31.8,16000
2025-08-28,32,32,31.8,31.8,8000
2025-09-01,31.8,32,31.8,32,8000
2025-09-02,31.5,31.5,31.5,31.5,4000
2025-09-03,31,33,31,33,100000
