Date,Open,High,Low,Close,Volume
2024-12-27,826,860,801,827.1,9233701
2024-12-30,821.7,823,745.2,752.85,1459394
2024-12-31,754,787.25,736.6,745.4,1055382
2025-01-01,747.95,752.9,730.5,738.65,464444
2025-01-02,740,824.2,735.55,813.05,2414272
2025-01-03,810,814.95,778.9,789.25,828006
2025-01-06,788.05,789,728.15,743.3,747693
2025-01-07,752.35,785,741.05,775.85,534631
2025-01-08,778.9,781.15,736.4,758.5,296795
2025-01-09,762.85,763.85,738,743.25,191771
2025-01-10,748.55,748.55,695.05,700.25,263246
2025-01-13,685.25,702.3,632.2,638.05,482244
2025-01-14,663,690.6,640.7,681,247134
2025-01-15,690,694,660.85,667.7,125836
2025-01-16,681,716.3,676,692.15,299914
2025-01-17,695.05,736,673.55,680.9,546651
2025-01-20,769,773.6,705,724.1,1763477
2025-01-21,724.1,730,692,722.85,455068
2025-01-22,729,729,687.05,704.3,283264
2025-01-23,693,693,656.55,673.4,303806
2025-01-24,665,675.15,637,644.95,242642
2025-01-27,636,636,575,584.65,377785
2025-01-28,594.2,683.35,559.75,655.95,736270
2025-01-29,650,689.4,645.05,681.8,379384
2025-01-30,680,723.45,669,689.35,431366
2025-01-31,682.95,699,660.1,682.9,189715
2025-02-01,684.1,707.25,655.6,669.5,183150
2025-02-03,654.95,669,635.2,646.4,125618
2025-02-04,654,667.2,645.15,661.1,79888
2025-02-05,662.8,689.9,662.8,677.05,154418
2025-02-06,677,679.5,645.2,652.7,105709
2025-02-07,658,703.45,652.7,665.95,432915
2025-02-10,672.95,681.65,643.15,650.25,118388
2025-02-11,650,653.55,619,635.95,189119
2025-02-12,640,651.95,609.2,644.65,210287
2025-02-13,645,662.95,636.25,652.9,92971
2025-02-14,559,560,522.35,522.35,1194947
2025-02-17,472.7,498,449.95,469.9,886570
2025-02-18,472.25,483.2,445,455.1,426304
2025-02-19,450,474.4,441.25,459.65,345251
2025-02-20,455,487,441.65,479.75,168299
2025-02-21,479.8,492.8,451.35,457.05,223244
2025-02-24,454,454,430.75,435.75,190015
2025-02-25,437,448.35,424.05,437.1,142546
2025-02-27,436,442.9,415,435.55,129153
2025-02-28,429.8,442.8,417.9,440.9,93769
2025-03-03,448.35,451.8,423.7,433.9,124292
2025-03-04,430.05,448.05,421.8,443.9,109015
2025-03-05,441.4,477.1,441.4,472.25,92197
2025-03-06,479,519.45,463.55,503.85,169122
2025-03-07,500,514,490,504.8,117250
2025-03-10,508.7,516.9,489.4,515.2,96268
2025-03-11,509.7,555,492.2,539.55,306360
2025-03-12,543.05,551.9,525.05,533.3,89358
2025-03-13,533.3,537.55,508,513.3,68603
2025-03-17,515.95,525,501.2,507.05,59254
2025-03-18,509.9,534.35,505.6,528.2,79088
2025-03-19,532.95,534,513,517.35,61934
2025-03-20,523.6,529.6,512.25,521.65,49837
2025-03-21,527,547.35,510.25,538.05,100833
2025-03-24,534.75,565.35,513.6,519.1,253809
2025-03-25,525,536.7,505.3,510.55,123503
2025-03-26,513.8,526.55,497.5,504.65,143762
2025-03-27,499.5,529.95,499.5,507.25,147187
2025-03-28,510,518.85,491.1,494.8,64915
2025-04-01,494.9,501.2,479.95,483.4,60852
2025-04-02,483,509.45,478.55,489.85,129221
2025-04-03,488.9,538.8,479.35,538.8,200169
2025-04-04,547,585,531.2,541.05,586848
2025-04-07,465,524.8,465,515.75,149139
2025-04-08,528.85,544,513.05,536.2,191586
2025-04-09,531,539.4,512.5,520.35,81125
2025-04-11,535,554,510,517.15,191927
2025-04-15,529,540,520.2,527.9,116425
2025-04-16,523,536.95,522.85,529.5,75633
2025-04-17,529.8,559.5,525,554.2,166476
2025-04-21,557,577.45,556.5,559.1,110559
2025-04-22,560,565,541.05,545.7,80219
2025-04-23,550,553.9,531.4,540.35,79414
2025-04-24,538.5,546.8,524,526.45,74677
2025-04-25,532.7,532.7,503,509.65,75185
2025-04-28,506.25,524.8,503.3,515.2,45195
2025-04-29,524,526.5,516,518.65,32458
2025-04-30,519,519,502.05,504.35,65138
2025-05-02,504.35,512.45,495.35,496.85,60898
2025-05-05,498.95,506.95,495.3,504.15,31618
2025-05-06,506.8,506.8,491.5,494.65,26918
2025-05-07,479.75,505,479.75,500.4,37695
2025-05-08,507,514.35,491.2,493.3,43636
2025-05-09,488.25,493.05,482,487.05,33208
2025-05-12,504.35,515.25,502.05,512,41018
2025-05-13,516.75,528.2,512.05,515.85,31627
2025-05-14,519.5,537.6,516.2,526.65,218754
2025-05-15,531.2,546,530.15,543.5,95076
2025-05-16,547.35,592.35,544,586.75,230371
2025-05-19,594.4,621.9,590.45,604.95,227113
2025-05-20,614,618.25,585,589,95073
2025-05-21,592,624,592,615.8,227133
2025-05-22,615,621,606.7,613.75,87739
2025-05-23,619,649.7,609.9,645.85,367416
2025-05-26,659.9,659.9,590,598.1,537819
2025-05-27,600,608.95,594.5,599.3,91636
2025-05-28,606,608,590.05,593.95,56287
2025-05-29,598.1,605.95,591.85,594.25,108373
2025-05-30,603.5,605,585.5,587.3,83191
2025-06-02,594.95,599.15,585.5,589.8,84851
2025-06-03,593.4,598.95,586.75,594.9,40688
2025-06-04,598,598,578.7,580.05,56756
2025-06-05,580.05,603.95,580.05,588.5,298316
2025-06-06,585.55,594.4,578,580.25,85611
2025-06-09,581.95,585.65,577,580.35,89472
2025-06-10,580.4,594.85,580.4,591.95,68252
2025-06-11,595,598,591,592.65,64376
2025-06-12,598.6,598.6,578.15,580.1,38988
2025-06-13,568.1,575.1,562.55,568.35,60073
2025-06-16,576.8,577.45,559,571.2,61128
2025-06-17,571.2,576.4,567.05,569.25,20117
2025-06-18,569.2,569.25,556.3,560.1,49279
2025-06-19,556.25,566.2,540.1,544.2,35047
2025-06-20,542,556.95,537.85,553.85,22736
2025-06-23,550,561.7,546.05,557.65,25253
2025-06-24,569.8,574.4,560.3,570.65,46080
2025-06-25,574.35,598,568,589.95,90574
2025-06-26,590,593,580.5,583.05,31658
2025-06-27,581.5,593.05,581.5,586.95,22769
2025-06-30,588,590.4,572.25,574.95,33022
2025-07-01,579.8,579.8,565.3,569.55,31576
2025-07-02,574.8,574.8,563.75,566.1,32560
2025-07-03,566.1,571.3,561.5,564,22298
2025-07-04,567.35,573.8,564.85,568.1,22545
2025-07-07,565,571.95,562.65,565.4,18626
2025-07-08,569.8,570.4,551.1,563.1,25186
2025-07-09,563.5,569,559.5,566.6,18965
2025-07-10,568.35,599.9,566.85,593.05,157106
2025-07-11,599,617,590,595.2,271089
2025-07-14,590,592.5,572.15,577.55,52920
2025-07-15,579.9,588.7,577,579.4,29774
2025-07-16,579.1,615.95,575.9,606.65,139919
2025-07-17,612,621,592.15,601.9,97577
2025-07-18,603.8,644.9,590.05,617.1,550553
2025-07-21,621.9,635.65,612,619.15,142062
2025-07-22,618,639,612.8,618.6,144878
2025-07-23,620,635.55,616,631.95,116857
2025-07-24,635,642.75,608.05,618.65,134795
2025-07-25,619.95,638,611.1,631.15,153813
2025-07-28,635,656,610,621.6,269543
2025-07-29,624.9,639.9,615.05,636.25,94247
2025-07-30,640,649.95,625.5,629.8,89529
2025-07-31,625,630.3,609.5,623.35,61512
2025-08-01,628,633.15,585.25,595,80769
2025-08-04,597.8,604.8,592.05,599.2,35396
2025-08-05,596.25,602.2,570.75,575.15,60226
2025-08-06,575.15,584.2,565.15,567.95,43979
2025-08-07,568.05,573.15,558.6,563.35,56981
2025-08-08,569,569,536,541.5,83008
2025-08-11,530,534.5,495.15,528.1,229386
2025-08-12,528.1,542.85,528.1,530.7,41263
2025-08-13,532,536.65,518.05,522.4,33878
2025-08-14,522.45,528.85,511.35,513.85,33040
2025-08-18,524.95,530.8,515.85,522.55,29111
2025-08-19,517,569.6,517,543.25,192353
2025-08-20,543,569.8,542.55,550.1,158949
2025-08-21,550,559.2,547.05,549.2,27972
