Date,Open,High,Low,Close,Volume
2024-10-23,751.1,788.5,690.2,731.2,42390
2024-10-24,731.2,744.5,711,735.8,16501
2024-10-25,743,755.55,689.8,706.8,30662
2024-10-28,721,732.6,671,705.2,20505
2024-10-29,705.2,758.8,666,708.05,28403
2024-10-30,711.4,725,684.45,707.8,22834
2024-10-31,720,723,670.5,693,24032
2024-11-01,718,720,701.25,713.7,13926
2024-11-04,720.05,740,661.05,705.65,43362
2024-11-05,710,711,691.45,705.55,15688
2024-11-06,715.3,725,679.1,711.1,20163
2024-11-07,725,734.95,694,698.6,15470
2024-11-08,704.95,704.95,684.75,691.9,14659
2024-11-11,635,729.95,596.15,681.5,222021
2024-11-12,682,693.95,649.1,655.95,23624
2024-11-13,655.95,662.95,611.95,641.4,29885
2024-11-14,648,667,634.55,662,11217
2024-11-18,683.3,683.3,641.1,655.2,14149
2024-11-19,650,679.9,637.2,643.5,20204
2024-11-21,648.3,653.3,631,638.6,10037
2024-11-22,648.3,654.3,630.5,641.45,13808
2024-11-25,659.95,659.95,638.15,639.95,11262
2024-11-26,646.2,648.45,634.05,643.55,7436
2024-11-27,644.15,651,636.75,644.55,12153
2024-11-28,659.8,665.75,634,643.55,14857
2024-11-29,643.55,648.3,634.65,640.9,10140
2024-12-02,645.7,657.7,631.1,637.95,8771
2024-12-03,642.7,678.45,642.7,647.85,25748
2024-12-04,657.4,657.45,635.45,640,19128
2024-12-05,633.7,645,631.1,638.9,11486
2024-12-06,639.45,641.8,626,634.4,46152
2024-12-09,630.1,644,630.1,638.7,8893
2024-12-10,635,648,626.1,639.7,32801
2024-12-11,640,651.6,640,648.45,11475
2024-12-12,645.1,646.8,624.05,640.25,21620
2024-12-13,640.05,650.1,630,646.55,14057
2024-12-16,645.8,690.95,642.5,652.7,38039
2024-12-17,650,669,647.5,654.55,10932
2024-12-18,667.65,668.3,638.85,648,10997
2024-12-19,649,650.5,638,644.5,14461
2024-12-20,648,652.4,632.35,636.6,17241
2024-12-23,660,697,640.4,668.8,38754
